tadpole,swim.dur,treatment
100,21.6,NMDA
100,21.13,NMDA
100,5.25,NMDA
100,20.25,NMDA
100,2.4,NMDA
101,2.48,NMDA
101,22,NMDA
101,0.8,NMDA
101,2.34,NMDA
101,4.07,NMDA
102,1.65,NMDA
102,12.8,NMDA
102,25.2,NMDA
102,2.26,NMDA
102,3.36,NMDA
103,12,NMDA
103,15,NMDA
103,12,NMDA
103,14,NMDA
103,13.12,NMDA
104,14.37,NMDA
104,8.35,NMDA
104,13.11,NMDA
104,9.03,NMDA
104,9.24,NMDA
